"VARIABLE_NAME","VARIABLE_VALUE"
"WSREP_NODE_ADDRESS",""
"ARIA_RECOVER_OPTIONS","BACKUP,QUICK"
"WSREP_CERTIFICATION_RULES","strict"
"WSREP_TRX_FRAGMENT_UNIT","bytes"
"PERFORMANCE_SCHEMA_MAX_TABLE_HANDLES","-1"
"SLAVE_SQL_VERIFY_CHECKSUM","ON"
"INNODB_BUFFER_POOL_LOAD_ABORT","OFF"
"SLAVE_EXEC_MODE","STRICT"
"MYISAM_STATS_METHOD","NULLS_UNEQUAL"
"MYISAM_SORT_BUFFER_SIZE","134216704"
"INNODB_COMPRESSION_LEVEL","6"
"INNODB_OLD_BLOCKS_PCT","37"
"GTID_BINLOG_POS",""
"MAX_ERROR_COUNT","64"
"SLAVE_LOAD_TMPDIR","/tmp/actions-setup-mysql-amhpxl/tmp"
"FT_MIN_WORD_LEN","4"
"SLAVE_PARALLEL_MODE","optimistic"
"WSREP_FORCED_BINLOG_FORMAT","NONE"
"SKIP_SHOW_DATABASE","OFF"
"ARIA_FORCE_START_AFTER_RECOVERY_FAILURES","0"
"AUTOCOMMIT","ON"
"SLAVE_RUN_TRIGGERS_FOR_RBR","NO"
"EQ_RANGE_INDEX_DIVE_LIMIT","200"
"MYISAM_MMAP_SIZE","18446744073709551615"
"WSREP_SST_AUTH",""
"KEY_CACHE_BLOCK_SIZE","1024"
"STORAGE_ENGINE","InnoDB"
"ARIA_LOG_DIR_PATH","/tmp/actions-setup-mysql-amhpxl/var/"
"TRANSACTION_PREALLOC_SIZE","4096"
"INNODB_FORCE_RECOVERY","0"
"VERSION_COMPILE_OS","Linux"
"WSREP_CERTIFY_NONPK","ON"
"RPL_SEMI_SYNC_SLAVE_ENABLED","OFF"
"BINLOG_ROW_IMAGE","FULL"
"MYISAM_USE_MMAP","OFF"
"ENCRYPT_TMP_DISK_TABLES","OFF"
"INNODB_BUFFER_POOL_LOAD_AT_STARTUP","ON"
"INNODB_FT_CACHE_SIZE","8000000"
"IDLE_READONLY_TRANSACTION_TIMEOUT","0"
"OPTIMIZER_MAX_SEL_ARG_WEIGHT","32000"
"REPLICATE_EVENTS_MARKED_FOR_SKIP","REPLICATE"
"INNODB_LOG_OPTIMIZE_DDL","OFF"
"LOG_SLAVE_UPDATES","OFF"
"INNODB_FLUSH_SYNC","ON"
"WSREP_OSU_METHOD","TOI"
"WSREP_GTID_MODE","OFF"
"INNODB_FT_SERVER_STOPWORD_TABLE",""
"INNODB_OPEN_FILES","2000"
"TCP_NODELAY","ON"
"INNODB_LOG_FILES_IN_GROUP","1"
"SYNC_MASTER_INFO","10000"
"SKIP_NAME_RESOLVE","OFF"
"SLAVE_DOMAIN_PARALLEL_THREADS","0"
"INNODB_STATS_ON_METADATA","OFF"
"ENFORCE_STORAGE_ENGINE",""
"READ_BINLOG_SPEED_LIMIT","0"
"INNODB_FT_ENABLE_DIAG_PRINT","OFF"
"RELAY_LOG_SPACE_LIMIT","0"
"HAVE_SYMLINK","YES"
"INNODB_LOG_GROUP_HOME_DIR","./"
"KEY_CACHE_SEGMENTS","0"
"INNODB_LARGE_PREFIX",""
"INNODB_FLUSH_NEIGHBORS","1"
"BASEDIR","/opt/hostedtoolcache/mariadb/10.5.22/x64/"
"SECURE_TIMESTAMP","NO"
"INNODB_LOG_CHECKSUMS","ON"
"INNODB_DEFRAGMENT_N_PAGES","7"
"ARIA_SORT_BUFFER_SIZE","268434432"
"INNODB_THREAD_SLEEP_DELAY","0"
"SSL_KEY","/tmp/actions-setup-mysql-amhpxl/var/server-key.pem"
"WSREP_RECOVER","OFF"
"INNODB_LOG_FILE_SIZE","100663296"
"GTID_CLEANUP_BATCH_SIZE","64"
"MYISAM_REPAIR_THREADS","1"
"GTID_POS_AUTO_ENGINES",""
"INNODB_FT_AUX_TABLE",""
"MAX_SEEKS_FOR_KEY","4294967295"
"INNODB_LOG_WRITE_AHEAD_SIZE","8192"
"INNODB_REPLICATION_DELAY","0"
"SLOW_QUERY_LOG_FILE","fv-az361-480-slow.log"
"QUERY_CACHE_MIN_RES_UNIT","4096"
"INNODB_FT_MAX_TOKEN_SIZE","84"
"INNODB_DEADLOCK_DETECT","ON"
"THREAD_STACK","299008"
"INNODB_CHECKSUM_ALGORITHM","full_crc32"
"INNODB_FORCE_LOAD_CORRUPTED","OFF"
"ARIA_LOG_PURGE_TYPE","immediate"
"LOG_BIN","OFF"
"LARGE_PAGE_SIZE","0"
"REPLICATE_WILD_IGNORE_TABLE",""
"READ_RND_BUFFER_SIZE","262144"
"WSREP_SR_STORE","table"
"ARIA_LOG_FILE_SIZE","1073741824"
"WSREP_DESYNC","OFF"
"OPTIMIZER_SEARCH_DEPTH","62"
"SESSION_TRACK_STATE_CHANGE","OFF"
"TCP_KEEPALIVE_TIME","0"
"TIME_ZONE","SYSTEM"
"READ_ONLY","OFF"
"USERSTAT","OFF"
"INNODB_VERSION","10.5.22"
"SESSION_TRACK_SYSTEM_VARIABLES","autocommit,character_set_client,character_set_connection,character_set_results,time_zone"
"INNODB_ADAPTIVE_MAX_SLEEP_DELAY","0"
"INNODB_PURGE_BATCH_SIZE","300"
"INNODB_FORCE_PRIMARY_KEY","OFF"
"HISTOGRAM_SIZE","254"
"WSREP_DIRTY_READS","OFF"
"INNODB_FLUSH_METHOD","fsync"
"INNODB_DEFRAGMENT_FILL_FACTOR","0.900000"
"REPLICATE_ANNOTATE_ROW_EVENTS","ON"
"ALTER_ALGORITHM","DEFAULT"
"USE_STAT_TABLES","PREFERABLY_FOR_QUERIES"
"SQL_LOG_BIN","ON"
"INNODB_FAST_SHUTDOWN","1"
"PERFORMANCE_SCHEMA_USERS_SIZE","-1"
"INNODB_PURGE_RSEG_TRUNCATE_FREQUENCY","128"
"BACK_LOG","80"
"INNODB_SYNC_SPIN_LOOPS","30"
"TMPDIR","/tmp/actions-setup-mysql-amhpxl/tmp"
"ROWID_MERGE_BUFF_SIZE","8388608"
