"VARIABLE_NAME","VARIABLE_VALUE"
"INNODB_COMPRESSION_LEVEL","6"
"SQL_QUOTE_SHOW_CREATE","ON"
"TABLE_OPEN_CACHE","2000"
"WSREP_NODE_ADDRESS",""
"MAX_ERROR_COUNT","64"
"WSREP_CERTIFICATION_RULES","strict"
"FT_MIN_WORD_LEN","4"
"PERFORMANCE_SCHEMA_MAX_TABLE_HANDLES","-1"
"WSREP_FORCED_BINLOG_FORMAT","NONE"
"INNODB_STATS_PERSISTENT_SAMPLE_PAGES","20"
"ARIA_FORCE_START_AFTER_RECOVERY_FAILURES","0"
"SYNC_BINLOG","0"
"INNODB_FLUSH_METHOD","fsync"
"MYISAM_SORT_BUFFER_SIZE","134216704"
"HAVE_PROFILING","YES"
"INNODB_OLD_BLOCKS_PCT","37"
"WSREP_SST_AUTH",""
"LOWER_CASE_TABLE_NAMES","0"
"STORAGE_ENGINE","InnoDB"
"ARIA_LOG_DIR_PATH","/tmp/actions-setup-mysql-etr4bJ/var/"
"INNODB_LOCKS_UNSAFE_FOR_BINLOG","OFF"
"SLAVE_PARALLEL_MODE","conservative"
"SQL_SAFE_UPDATES","OFF"
"SKIP_SHOW_DATABASE","OFF"
"RPL_SEMI_SYNC_SLAVE_ENABLED","OFF"
"AUTOCOMMIT","ON"
"MYISAM_USE_MMAP","OFF"
"EQ_RANGE_INDEX_DIVE_LIMIT","200"
"INNODB_BUFFER_POOL_LOAD_AT_STARTUP","ON"
"INNODB_FT_CACHE_SIZE","8000000"
"VERSION","10.4.31-MariaDB"
"INNODB_CHECKSUMS","ON"
"MYISAM_MMAP_SIZE","18446744073709551615"
"TRANSACTION_PREALLOC_SIZE","4096"
"LOG_SLAVE_UPDATES","OFF"
"VERSION_COMPILE_OS","Linux"
"DEADLOCK_TIMEOUT_LONG","50000000"
"WSREP_GTID_MODE","OFF"
"INNODB_DATA_FILE_PATH","ibdata1:12M:autoextend"
"INNODB_OPEN_FILES","2000"
"DEBUG_NO_THREAD_ALARM","OFF"
"INNODB_LOG_FILES_IN_GROUP","2"
"SYNC_MASTER_INFO","10000"
"IDLE_READONLY_TRANSACTION_TIMEOUT","0"
"SKIP_NAME_RESOLVE","OFF"
"REPLICATE_EVENTS_MARKED_FOR_SKIP","REPLICATE"
"INNODB_STATS_ON_METADATA","OFF"
"INNODB_FT_MAX_TOKEN_SIZE","84"
"READ_BINLOG_SPEED_LIMIT","0"
"WSREP_OSU_METHOD","TOI"
"REPLICATE_DO_DB",""
"INIT_FILE",""
"INNODB_LOG_GROUP_HOME_DIR","./"
"TCP_NODELAY","ON"
"INNODB_LARGE_PREFIX",""
"INNODB_DEFRAGMENT_N_PAGES","7"
"BASEDIR","/opt/hostedtoolcache/mariadb/10.4.31/x64/"
"SLAVE_DOMAIN_PARALLEL_THREADS","0"
"INNODB_LOG_CHECKSUMS","ON"
"ENFORCE_STORAGE_ENGINE",""
"ARIA_SORT_BUFFER_SIZE","268434432"
"INNODB_FT_ENABLE_DIAG_PRINT","OFF"
"SSL_KEY","/tmp/actions-setup-mysql-etr4bJ/var/server-key.pem"
"HAVE_SYMLINK","YES"
"INNODB_LOG_FILE_SIZE","50331648"
"MAX_PASSWORD_ERRORS","4294967295"
"MYISAM_REPAIR_THREADS","1"
"INNODB_FLUSH_NEIGHBORS","1"
"INNODB_FT_AUX_TABLE",""
"SECURE_TIMESTAMP","NO"
"INNODB_LOG_WRITE_AHEAD_SIZE","8192"
"COLLATION_SERVER","latin1_swedish_ci"
"RPL_SEMI_SYNC_MASTER_WAIT_NO_SLAVE","ON"
"INNODB_THREAD_SLEEP_DELAY","10000"
"SQL_NOTES","ON"
"WSREP_RECOVER","OFF"
"THREAD_STACK","299008"
"GTID_CLEANUP_BATCH_SIZE","64"
"INNODB_CHECKSUM_ALGORITHM","crc32"
"INNODB_FORCE_LOAD_CORRUPTED","OFF"
"ARIA_LOG_PURGE_TYPE","immediate"
"MAX_SEEKS_FOR_KEY","4294967295"
"MYSQL56_TEMPORAL_FORMAT","ON"
"INNODB_REPLICATION_DELAY","0"
"WSREP_NODE_INCOMING_ADDRESS","AUTO"
"QUERY_CACHE_MIN_RES_UNIT","4096"
"DEADLOCK_TIMEOUT_SHORT","10000"
"INNODB_BUFFER_POOL_CHUNK_SIZE","134217728"
"TCP_KEEPALIVE_PROBES","0"
"WSREP_DESYNC","OFF"
"ARIA_GROUP_COMMIT","none"
"SESSION_TRACK_STATE_CHANGE","OFF"
"COLLATION_CONNECTION","latin1_swedish_ci"
"LARGE_PAGE_SIZE","0"
"TIME_ZONE","SYSTEM"
"READ_RND_BUFFER_SIZE","262144"
"USERSTAT","OFF"
"IN_TRANSACTION","0"
"SESSION_TRACK_SYSTEM_VARIABLES","autocommit,character_set_client,character_set_connection,character_set_results,time_zone"
"ARIA_LOG_FILE_SIZE","1073741824"
"INNODB_PURGE_BATCH_SIZE","300"
"OPTIMIZER_SEARCH_DEPTH","62"
"HISTOGRAM_SIZE","254"
"TCP_KEEPALIVE_TIME","0"
"INNODB_LOG_OPTIMIZE_DDL","OFF"
"READ_ONLY","OFF"
"REPLICATE_ANNOTATE_ROW_EVENTS","ON"
"ARIA_PAGE_CHECKSUM","ON"
"USE_STAT_TABLES","PREFERABLY_FOR_QUERIES"
"INNODB_ADAPTIVE_MAX_SLEEP_DELAY","150000"
"INNODB_FAST_SHUTDOWN","1"
"IDLE_TRANSACTION_TIMEOUT","0"
"INNODB_PURGE_RSEG_TRUNCATE_FREQUENCY","128"
"WSREP_DIRTY_READS","OFF"
"INNODB_SYNC_SPIN_LOOPS","30"
"INNODB_DEFRAGMENT_FILL_FACTOR","0.900000"
"RAND_SEED2","237200404"
"ALTER_ALGORITHM","DEFAULT"
